Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_INCOME_TOTAL,717,703,466,429,698,767,570,721,633.875
AMT_CREDIT,1137,1121,867,913,1169,1314,998,1149,1083.5
AMT_ANNUITY,1608,1518,1199,1191,1625,1669,1258,1438,1438.25
AMT_GOODS_PRICE,1168,1311,994,954,1258,1317,1152,1218,1171.5
REGION_POPULATION_RELATIVE,1008,1047,700,719,1082,1251,852,1042,962.625
DAYS_BIRTH,2145,2225,1828,1901,2291,2454,2031,2153,2128.5
DAYS_EMPLOYED,2590,2586,1990,2070,2730,2847,2156,2610,2447.375
DAYS_REGISTRATION,1361,1506,1075,1075,1509,1712,1175,1581,1374.25
DAYS_ID_PUBLISH,1598,1616,1128,1222,1686,1795,1479,1659,1522.875
OWN_CAR_AGE,1060,1047,790,819,1089,1089,985,1084,995.375
FLAG_WORK_PHONE,186,194,157,144,198,209,193,214,186.875
FLAG_PHONE,81,103,71,77,74,93,92,99,86.25
FLAG_EMAIL,42,15,12,6,22,30,10,20,19.625
CNT_FAM_MEMBERS,133,138,78,108,164,206,159,163,143.625
REGION_RATING_CLIENT,78,61,57,48,62,73,52,71,62.75
REGION_RATING_CLIENT_W_CITY,218,270,205,222,285,302,275,293,258.75
HOUR_APPR_PROCESS_START,540,576,363,425,579,720,497,600,537.5
REG_REGION_NOT_LIVE_REGION,14,31,10,9,17,30,14,27,19.0
REG_REGION_NOT_WORK_REGION,18,35,14,27,13,46,20,22,24.375
LIVE_REGION_NOT_WORK_REGION,26,22,14,10,41,26,20,45,25.5
REG_CITY_NOT_LIVE_CITY,147,161,159,133,188,151,146,174,157.375
REG_CITY_NOT_WORK_CITY,20,30,17,24,22,29,16,21,22.375
LIVE_CITY_NOT_WORK_CITY,24,49,42,33,76,75,39,21,44.875
EXT_SOURCE_1,3544,3695,3180,3153,3611,3802,3228,3571,3473.0
EXT_SOURCE_2,3358,3303,2920,2861,3440,3563,3125,3381,3243.875
EXT_SOURCE_3,3686,3619,3124,3159,3861,4064,3467,3794,3596.75
APARTMENTS_MEDI,605,631,427,523,717,696,522,749,608.75
BASEMENTAREA_MEDI,578,644,435,472,718,697,493,698,591.875
YEARS_BEGINEXPLUATATION_MEDI,812,757,510,531,861,857,635,809,721.5
YEARS_BUILD_MEDI,464,450,319,337,500,531,392,492,435.625
COMMONAREA_MEDI,547,638,422,489,704,780,494,616,586.25
ELEVATORS_MEDI,151,129,79,99,155,212,109,148,135.25
ENTRANCES_MEDI,319,397,268,253,378,412,264,373,333.0
FLOORSMAX_MEDI,223,248,170,177,242,274,230,289,231.625
FLOORSMIN_MEDI,229,243,167,192,266,276,182,290,230.625
LANDAREA_MEDI,704,700,411,481,759,805,649,796,663.125
LIVINGAPARTMENTS_MEDI,590,491,383,376,672,645,484,566,525.875
LIVINGAREA_MEDI,652,676,463,515,691,790,509,687,622.875
NONLIVINGAPARTMENTS_MEDI,271,235,136,167,225,311,208,249,225.25
NONLIVINGAREA_MEDI,511,434,316,313,535,589,406,504,451.0
OBS_30_CNT_SOCIAL_CIRCLE,294,280,210,213,301,349,229,291,270.875
DEF_30_CNT_SOCIAL_CIRCLE,232,270,215,212,249,299,222,247,243.25
OBS_60_CNT_SOCIAL_CIRCLE,231,252,159,166,237,286,192,279,225.25
DEF_60_CNT_SOCIAL_CIRCLE,194,191,195,149,209,184,204,174,187.5
DAYS_LAST_PHONE_CHANGE,1132,1199,868,915,1286,1382,1009,1261,1131.5
FLAG_DOCUMENT_3,202,237,222,239,225,269,198,241,229.125
FLAG_DOCUMENT_5,30,10,4,5,11,6,4,19,11.125
FLAG_DOCUMENT_6,11,32,17,18,22,19,28,23,21.25
FLAG_DOCUMENT_8,23,34,9,15,14,32,26,14,20.875
FLAG_DOCUMENT_11,35,41,28,28,33,25,11,36,29.625
FLAG_DOCUMENT_13,29,67,44,24,40,45,43,31,40.375
FLAG_DOCUMENT_14,39,15,15,9,30,23,5,21,19.625
FLAG_DOCUMENT_15,8,26,0,3,16,14,1,1,8.625
FLAG_DOCUMENT_16,61,71,52,85,69,66,45,83,66.5
FLAG_DOCUMENT_18,99,100,98,88,116,110,92,124,103.375
FLAG_DOCUMENT_21,2,18,10,5,10,0,12,1,7.25
AMT_REQ_CREDIT_BUREAU_HOUR,5,6,6,9,12,3,2,2,5.625
AMT_REQ_CREDIT_BUREAU_DAY,51,17,18,28,44,61,59,45,40.375
AMT_REQ_CREDIT_BUREAU_WEEK,69,60,48,32,66,84,43,47,56.125
AMT_REQ_CREDIT_BUREAU_MON,136,142,87,65,158,136,106,96,115.75
AMT_REQ_CREDIT_BUREAU_QRT,300,280,227,215,329,292,250,291,273.0
AMT_REQ_CREDIT_BUREAU_YEAR,377,303,256,251,416,419,261,402,335.625
CREDIT_INCOME_RATIO,1003,996,741,761,1119,1189,833,1038,960.0
INCOME_PER_HEAD,837,900,549,671,885,949,688,835,789.25
ANNUITY_INCOME_RATIO,1336,1317,1004,1080,1356,1492,1054,1273,1239.0
ANNUITY_CREDIT_RATIO,3388,3295,2679,2900,3567,3507,3071,3636,3255.375
NAME_CONTRACT_TYPE_Revolving loans,193,187,173,188,200,211,200,183,191.875
CODE_GENDER_M,486,498,446,508,493,523,518,507,497.375
FLAG_OWN_CAR_Y,6,7,6,11,15,3,12,7,8.375
FLAG_OWN_REALTY_Y,46,50,29,35,61,63,53,65,50.25
CNT_CHILDREN_1,75,66,47,94,84,109,63,78,77.0
CNT_CHILDREN_2+,10,8,10,14,18,18,23,15,14.5
NAME_TYPE_SUITE_Unaccompanied,32,32,57,19,21,52,26,35,34.25
NAME_INCOME_TYPE_Commercial associate,58,39,42,51,68,79,62,57,57.0
NAME_INCOME_TYPE_Maternity leave,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_Pensioner,1,0,3,1,2,8,1,5,2.625
NAME_INCOME_TYPE_State servant,70,82,68,73,78,66,73,67,72.125
NAME_INCOME_TYPE_Student,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_Unemployed,0,0,0,0,0,0,0,0,0.0
NAME_INCOME_TYPE_Working,103,84,95,96,97,114,107,142,104.75
NAME_EDUCATION_TYPE_Higher education,233,266,255,221,235,292,225,267,249.25
NAME_EDUCATION_TYPE_Incomplete higher,38,41,18,15,30,40,52,35,33.625
NAME_EDUCATION_TYPE_Lower secondary,55,47,43,38,48,72,62,44,51.125
NAME_EDUCATION_TYPE_Secondary / secondary special,172,158,179,148,166,159,192,135,163.625
NAME_FAMILY_STATUS_Married,267,245,250,252,273,274,287,277,265.625
NAME_FAMILY_STATUS_Separated,43,22,26,21,33,59,50,21,34.375
NAME_FAMILY_STATUS_Single / not married,56,97,31,31,104,63,49,58,61.125
NAME_FAMILY_STATUS_Unknown,0,0,0,0,0,0,0,0,0.0
NAME_FAMILY_STATUS_Widow,28,49,32,39,46,42,29,18,35.375
NAME_HOUSING_TYPE_House / apartment,82,49,54,51,53,53,45,68,56.875
NAME_HOUSING_TYPE_Municipal apartment,68,48,60,44,55,48,59,88,58.75
NAME_HOUSING_TYPE_Office apartment,44,59,42,38,54,75,58,81,56.375
NAME_HOUSING_TYPE_Rented apartment,20,33,20,16,16,52,9,21,23.375
NAME_HOUSING_TYPE_With parents,33,36,18,12,16,13,14,18,20.0
OCCUPATION_TYPE_Cleaning staff,22,14,3,18,17,4,10,8,12.0
OCCUPATION_TYPE_Cooking staff,6,12,5,6,11,12,6,8,8.25
OCCUPATION_TYPE_Core staff,90,106,95,93,96,86,92,84,92.75
OCCUPATION_TYPE_Drivers,121,111,115,89,102,99,99,127,107.875
OCCUPATION_TYPE_HR staff,0,6,0,4,9,0,1,0,2.5
OCCUPATION_TYPE_High skill tech staff,46,53,56,57,72,73,49,76,60.25
OCCUPATION_TYPE_IT staff,0,0,0,0,0,3,1,0,0.5
OCCUPATION_TYPE_Laborers,88,91,94,55,100,97,74,102,87.625
OCCUPATION_TYPE_Low-skill Laborers,40,18,36,42,26,42,44,22,33.75
OCCUPATION_TYPE_Managers,4,3,7,11,15,12,8,28,11.0
OCCUPATION_TYPE_Medicine staff,32,58,28,23,29,39,30,40,34.875
OCCUPATION_TYPE_Private service staff,6,2,17,3,5,19,6,12,8.75
OCCUPATION_TYPE_Realty agents,0,4,0,0,0,0,1,0,0.625
OCCUPATION_TYPE_Sales staff,32,62,23,20,97,43,35,32,43.0
OCCUPATION_TYPE_Secretaries,5,0,0,3,3,10,4,3,3.5
OCCUPATION_TYPE_Security staff,22,25,17,4,36,37,13,38,24.0
OCCUPATION_TYPE_Waiters/barmen staff,13,10,10,13,26,33,3,6,14.25
WEEKDAY_APPR_PROCESS_START_MONDAY,64,79,61,57,86,100,64,91,75.25
WEEKDAY_APPR_PROCESS_START_SATURDAY,25,37,40,39,59,67,28,68,45.375
WEEKDAY_APPR_PROCESS_START_SUNDAY,42,54,29,22,42,65,29,51,41.75
WEEKDAY_APPR_PROCESS_START_THURSDAY,28,10,10,5,27,18,5,9,14.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,73,90,29,40,57,74,30,46,54.875
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,58,100,51,75,70,77,51,62,68.0
ORGANIZATION_TYPE_Agriculture,1,2,1,2,4,2,2,2,2.0
ORGANIZATION_TYPE_Bank,57,52,47,35,57,46,36,40,46.25
ORGANIZATION_TYPE_Business Entity Type 1,9,24,7,12,28,13,5,10,13.5
ORGANIZATION_TYPE_Business Entity Type 2,10,12,2,3,4,6,6,18,7.625
ORGANIZATION_TYPE_Business Entity Type 3,80,81,48,56,122,82,61,92,77.75
ORGANIZATION_TYPE_Cleaning,10,8,1,7,2,1,12,4,5.625
ORGANIZATION_TYPE_Construction,115,112,124,90,124,90,90,106,106.375
ORGANIZATION_TYPE_Culture,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Electricity,0,0,0,5,0,0,0,1,0.75
ORGANIZATION_TYPE_Emergency,0,1,0,2,0,0,0,1,0.5
ORGANIZATION_TYPE_Government,39,20,18,9,32,29,24,30,25.125
ORGANIZATION_TYPE_Hotel,24,31,15,11,24,39,2,7,19.125
ORGANIZATION_TYPE_Housing,5,5,1,1,4,12,7,4,4.875
ORGANIZATION_TYPE_Industry: type 1,3,4,0,2,10,4,4,11,4.75
ORGANIZATION_TYPE_Industry: type 10,0,0,0,1,0,0,0,0,0.125
ORGANIZATION_TYPE_Industry: type 11,4,5,2,1,8,2,5,9,4.5
ORGANIZATION_TYPE_Industry: type 12,19,73,27,18,35,54,14,42,35.25
ORGANIZATION_TYPE_Industry: type 13,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 2,2,7,10,2,0,32,1,2,7.0
ORGANIZATION_TYPE_Industry: type 3,18,27,17,15,43,27,29,19,24.375
ORGANIZATION_TYPE_Industry: type 4,18,8,10,12,23,7,6,2,10.75
ORGANIZATION_TYPE_Industry: type 5,6,17,2,3,12,10,2,1,6.625
ORGANIZATION_TYPE_Industry: type 6,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 7,1,5,1,0,1,1,0,0,1.125
ORGANIZATION_TYPE_Industry: type 8,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Industry: type 9,102,84,52,50,103,88,73,75,78.375
ORGANIZATION_TYPE_Insurance,0,0,0,0,0,2,0,0,0.25
ORGANIZATION_TYPE_Kindergarten,32,39,17,26,22,28,51,41,32.0
ORGANIZATION_TYPE_Legal Services,21,21,20,29,29,0,20,24,20.5
ORGANIZATION_TYPE_Medicine,38,17,7,9,13,32,13,20,18.625
ORGANIZATION_TYPE_Military,100,63,64,72,87,108,73,80,80.875
ORGANIZATION_TYPE_Mobile,0,1,0,0,2,1,1,2,0.875
ORGANIZATION_TYPE_Other,11,10,9,5,16,12,14,25,12.75
ORGANIZATION_TYPE_Police,44,45,19,32,35,29,48,34,35.75
ORGANIZATION_TYPE_Postal,10,14,5,19,8,21,5,10,11.5
ORGANIZATION_TYPE_Realtor,74,39,51,67,83,37,68,86,63.125
ORGANIZATION_TYPE_Religion,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Restaurant,21,12,6,14,14,29,22,31,18.625
ORGANIZATION_TYPE_School,104,85,64,42,78,80,66,71,73.75
ORGANIZATION_TYPE_Security,7,9,7,14,8,13,5,27,11.25
ORGANIZATION_TYPE_Security Ministries,50,49,18,22,37,48,31,44,37.375
ORGANIZATION_TYPE_Self-employed,151,144,158,118,141,140,133,164,143.625
ORGANIZATION_TYPE_Services,2,2,6,7,20,5,1,3,5.75
ORGANIZATION_TYPE_Telecom,9,6,3,8,7,3,0,19,6.875
ORGANIZATION_TYPE_Trade: type 1,1,0,2,0,0,0,0,1,0.5
ORGANIZATION_TYPE_Trade: type 2,13,2,27,23,9,23,4,6,13.375
ORGANIZATION_TYPE_Trade: type 3,28,44,8,23,34,15,31,25,26.0
ORGANIZATION_TYPE_Trade: type 4,5,3,0,0,13,5,2,2,3.75
ORGANIZATION_TYPE_Trade: type 5,0,0,0,0,0,0,0,0,0.0
ORGANIZATION_TYPE_Trade: type 6,4,10,6,4,18,14,0,7,7.875
ORGANIZATION_TYPE_Trade: type 7,17,9,3,21,1,20,12,28,13.875
ORGANIZATION_TYPE_Transport: type 1,28,2,7,1,13,9,7,8,9.375
ORGANIZATION_TYPE_Transport: type 2,4,6,3,2,7,4,9,10,5.625
ORGANIZATION_TYPE_Transport: type 3,103,87,97,109,129,103,87,109,103.0
ORGANIZATION_TYPE_Transport: type 4,8,19,5,3,8,11,5,19,9.75
ORGANIZATION_TYPE_University,7,7,4,1,2,3,1,2,3.375
ORGANIZATION_TYPE_XNA,0,0,0,0,0,0,0,0,0.0
ANY_OVERDUE,0,0,1,1,3,1,1,1,1.0
MAX_DAYS_OVERDUE,93,76,84,107,108,153,81,90,99.0
MAX_CREDIT_OVERDUE,243,265,269,248,259,266,239,278,258.375
NUM_TIMES_OVERDUE,112,85,84,97,94,83,102,96,94.125
NUM_TIMES_PROLONGED,70,99,50,62,96,110,65,78,78.75
TOTAL_CURRENT_CREDIT_AMT,1947,2022,1490,1449,2063,2175,1733,2018,1862.125
TOTAL_CURRENT_CREDIT_DEBT,1824,1893,1561,1527,1839,2156,1684,1858,1792.75
CREDIT_COUNT,760,736,553,540,750,911,594,791,704.375
NUMBER_APPROVED,662,602,551,616,675,721,591,656,634.25
NUMBER_CANCELED,210,239,172,162,283,266,209,199,217.5
NUMBER_REFUSED,805,780,770,788,790,817,723,834,788.375
NUMBER_UNUSED,70,74,37,57,81,80,51,52,62.75
NUMBER_APPLICATIONS,278,315,205,232,364,300,246,314,281.75
LAST_DECISION_DATE,2074,2226,1603,1691,2103,2390,1842,2107,2004.5
MAX_CREDIT_REQUESTED,1263,1246,850,901,1320,1282,996,1267,1140.625
MIN_CREDIT_REQUESTED,610,595,441,480,647,795,553,674,599.375
AVG_CREDIT_REQUESTED,1044,1138,666,791,1212,1234,909,1156,1018.75
MAX_APP_CREDIT_RATIO,1558,1532,1203,1218,1648,1889,1356,1498,1487.75
MIN_APP_CREDIT_RATIO,1369,1455,1078,1124,1612,1642,1264,1444,1373.5
EQUAL_TO_CREDIT_ASKED,255,334,185,198,283,345,254,282,267.0
LESS_CREDIT_THAN_ASKED,153,184,107,127,143,137,146,182,147.375
MORE_CREDIT_THAN_ASKED,175,221,170,177,232,239,192,248,206.75
NUM_LATE_CC_PAYMENTS,121,108,76,78,134,140,112,158,115.875
MAX_CREDIT_LIMIT,482,493,416,388,530,558,457,515,479.875
NUM_PREV_CC_LOANS,27,67,31,46,51,32,40,42,42.0
MAX_BALANCE,450,566,453,387,503,569,509,495,491.5
MAX_PAID_ON_CREDIT,641,647,464,496,648,730,571,613,601.25
MAX_DRAWINGS_IN_MONTH,423,420,338,307,453,445,345,411,392.75
AVG_CC_BALANCE,759,824,624,743,835,870,769,829,781.625
AVG_DRAWINGS_PER_MONTH,1119,1038,967,936,1109,1052,954,1166,1042.625
NUM_PAYMENTS_UNDER,255,245,181,177,267,298,217,326,245.75
NUM_PAYMENTS_LATE,490,588,399,437,586,635,471,538,518.0
MIN_PAYMENT,1292,1253,849,970,1294,1503,1012,1360,1191.625
MAX_PAYMENT,2020,2106,1668,1692,2036,2235,1905,2065,1965.875
BEST_PAYMENT_DATE,1174,1194,939,889,1172,1353,1104,1277,1137.75
WORST_PAYMENT_DATE,1330,1448,1021,1097,1433,1566,1148,1352,1299.375
MIN_INSTALL_FRAC_PAID,489,536,391,383,573,653,410,502,492.125
AVG_INSTALL_FRAC_PAID,1307,1337,1173,1109,1381,1492,1172,1317,1286.0
MAX_INSTALL_FRAC_PAID,357,341,225,336,296,332,267,390,318.0
NUM_LATE_POS_PAYMENTS,48,56,27,38,59,87,38,93,55.75
MAX_DPD,322,336,279,237,315,350,296,317,306.5
AVG_DPD,784,811,625,652,760,785,747,716,735.0
