Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
NAME_CONTRACT_TYPE,94,114,111,110,119,112,113,134,113.375
CODE_GENDER,364,344,336,341,308,337,321,348,337.375
FLAG_OWN_CAR,2,0,0,12,10,3,1,10,4.75
FLAG_OWN_REALTY,74,114,72,72,116,83,72,108,88.875
AMT_INCOME_TOTAL,414,444,318,370,375,363,251,613,393.5
AMT_CREDIT,717,925,674,724,725,828,566,934,761.625
AMT_ANNUITY,1049,1233,1027,988,967,1087,779,1401,1066.375
AMT_GOODS_PRICE,764,795,786,665,774,846,564,758,744.0
NAME_TYPE_SUITE,10,15,27,26,18,31,13,55,24.375
REGION_POPULATION_RELATIVE,689,725,704,619,686,705,525,879,691.5
DAYS_BIRTH,1545,1732,1547,1412,1478,1517,1241,1850,1540.25
DAYS_EMPLOYED,1069,1245,967,927,946,1131,734,1428,1055.875
DAYS_REGISTRATION,811,1076,891,773,975,932,650,1232,917.5
DAYS_ID_PUBLISH,819,1032,951,758,765,902,663,1310,900.0
OWN_CAR_AGE,636,764,623,640,670,606,517,811,658.375
FLAG_WORK_PHONE,99,124,122,99,127,147,62,100,110.0
FLAG_PHONE,33,52,22,38,6,19,14,33,27.125
FLAG_EMAIL,61,59,37,41,64,68,35,58,52.875
CNT_FAM_MEMBERS,101,86,102,73,120,102,65,107,94.5
REGION_RATING_CLIENT,15,35,38,9,44,48,2,41,29.0
REGION_RATING_CLIENT_W_CITY,218,197,209,196,224,192,169,237,205.25
HOUR_APPR_PROCESS_START,371,425,287,308,366,421,259,486,365.375
REG_REGION_NOT_LIVE_REGION,24,39,66,35,41,29,9,53,37.0
REG_REGION_NOT_WORK_REGION,74,99,47,80,70,57,66,113,75.75
LIVE_REGION_NOT_WORK_REGION,50,28,42,47,19,51,43,51,41.375
REG_CITY_NOT_LIVE_CITY,23,55,18,38,30,9,22,65,32.5
REG_CITY_NOT_WORK_CITY,20,20,38,16,47,37,16,88,35.25
LIVE_CITY_NOT_WORK_CITY,132,146,87,137,153,131,99,118,125.375
EXT_SOURCE_1,1319,1477,1209,1227,1201,1194,961,1700,1286.0
EXT_SOURCE_2,824,1055,908,856,1000,959,636,1291,941.125
EXT_SOURCE_3,1427,1454,1370,1245,1345,1569,1070,1780,1407.5
APARTMENTS_MEDI,391,402,362,349,413,439,260,627,405.375
BASEMENTAREA_MEDI,399,338,293,190,303,412,231,531,337.125
YEARS_BEGINEXPLUATATION_MEDI,458,586,540,452,536,557,383,719,528.875
