Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_INCOME_TOTAL,175,243,348,170,107,178,191,254,208.25
AMT_CREDIT,434,344,516,334,323,354,291,521,389.625
AMT_ANNUITY,714,816,954,708,603,723,667,982,770.875
AMT_GOODS_PRICE,438,468,660,426,385,407,437,622,480.375
REGION_POPULATION_RELATIVE,408,437,659,432,244,356,290,711,442.125
DAYS_BIRTH,1172,1305,1515,1191,1030,1047,1175,1657,1261.5
DAYS_EMPLOYED,514,635,688,534,413,394,422,831,553.875
DAYS_REGISTRATION,448,558,803,394,354,350,436,833,522.0
DAYS_ID_PUBLISH,561,702,846,386,288,514,422,900,577.375
OWN_CAR_AGE,360,452,521,383,272,238,292,541,382.375
FLAG_WORK_PHONE,70,81,86,66,54,79,72,100,76.0
FLAG_CONT_MOBILE,0,0,0,0,0,0,0,0,0.0
FLAG_PHONE,1,7,0,18,1,2,0,1,3.75
FLAG_EMAIL,59,60,75,33,39,23,40,61,48.75
CNT_FAM_MEMBERS,47,47,66,54,36,56,54,101,57.625
REGION_RATING_CLIENT,19,32,30,14,5,14,14,27,19.375
REGION_RATING_CLIENT_W_CITY,16,25,34,18,19,30,9,39,23.75
HOUR_APPR_PROCESS_START,186,197,335,184,164,129,139,307,205.125
REG_REGION_NOT_LIVE_REGION,9,7,0,0,1,8,0,0,3.125
REG_REGION_NOT_WORK_REGION,3,9,12,5,4,13,0,8,6.75
LIVE_REGION_NOT_WORK_REGION,25,8,12,8,2,4,25,14,12.25
REG_CITY_NOT_LIVE_CITY,2,29,31,24,8,27,15,25,20.125
REG_CITY_NOT_WORK_CITY,4,7,14,6,2,2,13,31,9.875
LIVE_CITY_NOT_WORK_CITY,5,44,14,19,9,0,10,34,16.875
EXT_SOURCE_1,1018,1016,1383,966,917,892,987,1366,1068.125
EXT_SOURCE_2,579,639,756,495,471,493,510,848,598.875
EXT_SOURCE_3,1049,1101,1374,926,817,784,879,1353,1035.375
APARTMENTS_AVG,78,112,129,58,82,69,62,123,89.125
BASEMENTAREA_AVG,68,84,114,45,50,77,66,122,78.25
YEARS_BEGINEXPLUATATION_AVG,85,64,158,110,53,69,97,116,94.0
YEARS_BUILD_AVG,58,67,114,41,39,53,52,117,67.625
COMMONAREA_AVG,62,107,99,73,29,46,56,114,73.25
ELEVATORS_AVG,21,18,42,10,28,12,32,31,24.25
ENTRANCES_AVG,73,81,115,41,27,47,42,96,65.25
FLOORSMAX_AVG,60,40,83,33,12,31,41,58,44.75
FLOORSMIN_AVG,25,33,48,43,11,14,53,70,37.125
LANDAREA_AVG,67,108,108,76,79,61,51,180,91.25
LIVINGAPARTMENTS_AVG,59,89,105,80,57,44,48,118,75.0
LIVINGAREA_AVG,76,60,122,114,56,69,47,137,85.125
NONLIVINGAPARTMENTS_AVG,27,40,44,41,16,25,17,65,34.375
NONLIVINGAREA_AVG,77,67,147,78,48,41,80,135,84.125
APARTMENTS_MODE,140,167,289,132,116,75,124,185,153.5
BASEMENTAREA_MODE,100,135,171,106,62,56,73,227,116.25
YEARS_BEGINEXPLUATATION_MODE,119,117,237,133,100,119,82,229,142.0
YEARS_BUILD_MODE,58,103,134,86,63,51,73,115,85.375
COMMONAREA_MODE,83,102,166,98,41,67,98,140,99.375
ELEVATORS_MODE,36,22,19,23,2,11,13,26,19.0
ENTRANCES_MODE,43,47,76,40,19,19,29,82,44.375
FLOORSMAX_MODE,23,47,52,25,31,13,13,38,30.25
