Features,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Importance Fold 5,Importance Fold 6,Importance Fold 7,Importance Fold 8,Average Importance
AMT_INCOME_TOTAL,275,160,209,127,169,181,208,179,188.5
AMT_CREDIT,413,312,441,305,295,467,481,380,386.75
AMT_ANNUITY,661,625,678,478,630,655,663,544,616.75
AMT_GOODS_PRICE,522,461,492,388,529,449,469,493,475.375
REGION_POPULATION_RELATIVE,509,404,580,333,457,471,582,513,481.125
DAYS_BIRTH,1303,1162,1298,1030,1169,1232,1143,1244,1197.625
DAYS_EMPLOYED,372,377,457,254,308,396,405,343,364.0
DAYS_REGISTRATION,445,348,429,332,446,478,584,502,445.5
DAYS_ID_PUBLISH,610,479,613,423,489,602,507,466,523.625
OWN_CAR_AGE,308,279,437,252,266,369,356,339,325.75
FLAG_WORK_PHONE,105,90,123,77,99,62,82,76,89.25
FLAG_CONT_MOBILE,0,0,0,0,0,0,0,0,0.0
FLAG_PHONE,4,8,0,0,0,0,15,12,4.875
FLAG_EMAIL,91,60,46,65,52,59,78,91,67.75
CNT_FAM_MEMBERS,85,33,84,41,84,53,94,94,71.0
REGION_RATING_CLIENT,14,3,27,16,32,5,12,36,18.125
REGION_RATING_CLIENT_W_CITY,40,18,21,18,1,18,35,7,19.75
HOUR_APPR_PROCESS_START,194,134,210,151,175,166,236,199,183.125
REG_REGION_NOT_LIVE_REGION,8,0,0,0,0,22,7,0,4.625
REG_REGION_NOT_WORK_REGION,17,13,9,3,0,12,22,27,12.875
LIVE_REGION_NOT_WORK_REGION,13,7,7,9,6,5,22,6,9.375
REG_CITY_NOT_LIVE_CITY,6,14,17,12,4,36,16,16,15.125
REG_CITY_NOT_WORK_CITY,13,2,20,4,16,23,2,17,12.125
LIVE_CITY_NOT_WORK_CITY,62,34,57,3,31,9,46,15,32.125
EXT_SOURCE_1,1019,920,1100,877,963,1018,1006,1075,997.25
EXT_SOURCE_2,604,571,542,505,574,551,590,572,563.625
EXT_SOURCE_3,858,937,1064,837,919,1058,958,913,943.0
APARTMENTS_AVG,78,87,131,87,55,78,68,76,82.5
BASEMENTAREA_AVG,65,76,86,45,66,111,82,112,80.375
YEARS_BEGINEXPLUATATION_AVG,91,55,115,71,55,51,80,71,73.625
YEARS_BUILD_AVG,27,26,107,39,80,45,94,131,68.625
COMMONAREA_AVG,47,98,93,44,42,54,43,41,57.75
ELEVATORS_AVG,18,26,4,18,16,2,19,21,15.5
ENTRANCES_AVG,38,37,69,43,18,87,53,55,50.0
FLOORSMAX_AVG,26,41,28,13,41,40,29,53,33.875
FLOORSMIN_AVG,27,41,39,19,47,8,70,29,35.0
LANDAREA_AVG,106,81,87,97,110,114,129,79,100.375
LIVINGAPARTMENTS_AVG,77,25,31,36,55,87,49,47,50.875
LIVINGAREA_AVG,63,65,47,32,26,81,28,73,51.875
NONLIVINGAPARTMENTS_AVG,38,31,40,40,21,31,59,31,36.375
NONLIVINGAREA_AVG,60,66,50,64,76,89,103,92,75.0
APARTMENTS_MODE,151,119,156,65,116,154,97,132,123.75
BASEMENTAREA_MODE,95,66,98,79,77,108,80,105,88.5
YEARS_BEGINEXPLUATATION_MODE,128,107,152,108,49,75,106,140,108.125
YEARS_BUILD_MODE,45,89,83,31,115,86,100,70,77.375
COMMONAREA_MODE,75,81,105,38,79,85,74,107,80.5
ELEVATORS_MODE,18,9,15,10,18,8,11,19,13.5
ENTRANCES_MODE,40,28,46,30,21,39,11,36,31.375
FLOORSMAX_MODE,8,20,21,11,25,27,39,12,20.375
FLOORSMIN_MODE,21,5,51,15,15,16,41,23,23.375
